Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,0f53d76f-c3ac-402f-b262-20852e4f3662,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,Clean hands single person protocol.,,,,,,,,,,,,2023-07-24,12:30:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,9b49ace3-eab5-4904-a1d3-7ae176ea73d0,324,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,b59ee2ca-ce98-441a-b713-6cda25941453,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2021-07-19,11:00:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,d4e03ef5-9e0d-4cc5-ace0-9d446dd9dff5,150,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-22,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,80f63523-f1fc-466d-a5d1-bdfdff81c372,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,Clean hands single person protocol.,,,,,,,,,,,,2023-01-30,15:45:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,d2703f9b-477f-45e5-b8c0-e162b664f391,378,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,ca4539d3-ac35-479a-bb7f-4b47d64b6d99,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2022-02-07,15:00:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,71bb95d5-28b3-4238-b04a-bcf99e48dc6a,393,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""00U2DG900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,b2e1087f-9f55-438f-a95e-8d12de8be6dd,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2022-08-25,08:30:00,MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,4b50513c-9cf3-4634-a729-be7cb30b5c5f,140,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,5bd3a88d-a2b3-4567-8a1d-66fed566e687,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2022-05-23,13:00:00,MDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,7810aba3-175e-4a88-9a2d-3393269ad963,74,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,fe175018-e76f-4707-8dca-948b72b607a0,,"Sample - Routine, with an associated replicate",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2021-04-19,14:00:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,3a146164-c177-4a1b-bfb8-b8816fb2b9ef,231,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,630d591b-f340-4e04-88f3-2bc959f6143b,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2019-11-05,09:00:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,bfc2d4c6-ea33-4774-aceb-a7bb7bd41e87,226,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,630cc271-782b-4f28-b2b3-8545aa0478db,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2022-03-14,15:00:00,MDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,95edf744-74c5-4175-8fb3-c6140866e044,406,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,4ac43c4b-ea82-441d-a684-d70ba982fb54,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2020-10-13,12:45:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,70b6c921-ddf4-4ab3-9d83-3a9b056d2825,244,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,2b04f4ec-acc5-41e2-9ef5-faf6dadec237,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2021-11-01,13:00:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,9ce6cb3a-c48c-49ce-8ff7-f3c3abebb78c,308,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,fdb9fc2d-5d9a-46cd-a891-d1c12729d78e,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,L-2980292 Sta id on samples is 385224106590100. SID on ASR and in LIMS is correct per M. Spindler. JPC 10/30/18,,,,,,,,,,,,2018-10-22,11:30:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, low stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,5b0a6eed-cf31-44fa-92de-a7b333824116,260,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""00U2DG900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,0cbab05d-0951-4cd1-9e67-96d1399a8691,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,Generated activity from observation import file file533c8573fff_ab0b020c-182e-4e59-b396-f1e731d22180.csv,,,,,,,,,,,,2023-06-14,15:40:00,MDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,e4c37d6e-21c1-4e8d-a691-7f906c71b234,58,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,6651058f-a4ec-4721-92c5-9be0203ee507,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,"Use date on bottles, psolberg email 07/22/19",,,,,,,,,,,,2019-06-05,08:30:00,MDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,08aa7147-5551-416a-bfc1-e69b4f97250d,65,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,3bf6f1db-bad4-461d-896d-9d46e086bf9f,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,2022-09-06,11:45:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,573fb586-4ef9-4848-9bf5-0d429ca7676b,268,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
